Country Name,Country ISO-3 Code,"Physicians per 1,000 People",Air Pollution,Secondary School Enrollment,Disease Mortality,Traffic Deaths,Region,"Physicians per 1,000 People_Norm",Air Pollution_Norm,Secondary School Enrollment_Norm,Disease Mortality_Norm,Traffic Deaths_Norm
Aruba,ABW,1.12,29.93,77.82,30.8,18.95,Other,0.23667377398720682,0.7066650825709873,0.7816554359851151,0.6227544910179641,0.5693181818181818
Africa Eastern and Southern,AFE,0.16,25.11,46.3,67.04,31.23,Other,0.03198294243070362,0.7639301413805394,0.46464849642964895,0.1510023431398072,0.29022727272727267
Afghanistan,AFG,0.04,64.17,8.39,59.81,14.7,Other,0.006396588486140724,0.2998693121064513,0.08337523886151062,0.2451184587347045,0.665909090909091
Africa Western and Central,AFW,0.13,60.24,46.3,71.25,28.19,Other,0.0255863539445629,0.34656053225614825,0.46464849642964895,0.0961989065347566,0.35931818181818176
Angola,AGO,0.07,23.83,4.46,72.84,25.1,Other,0.01279317697228145,0.7791374599025782,0.0438499446847028,0.07550117156990366,0.42954545454545456
Albania,ALB,0.28,22.96,66.69,8.11,14.3,Other,0.057569296375266525,0.7894736842105263,0.6697173891179724,0.9181202811767769,0.675
Andorra,AND,2.27,16.83,46.3,30.8,7.6,Other,0.48187633262260127,0.8623024830699775,0.46464849642964895,0.6227544910179641,0.8272727272727273
Arab World,ARB,0.7,40.32,21.11,32.03,19.61,Other,0.14712153518123666,0.5832244267553761,0.21130443528110224,0.6067430356677949,0.5543181818181818
United Arab Emirates,ARE,0.91,44.3,26.75,10.32,16.0,Other,0.19189765458422173,0.5359391707259119,0.2680277582218646,0.8893517313199688,0.6363636363636364
Argentina,ARG,1.35,18.96,40.5,12.28,11.5,Other,0.2857142857142857,0.8369965545918974,0.40631600120687916,0.863837542306691,0.7386363636363636
Armenia,ARM,2.62,28.22,86.53,5.18,19.6,Other,0.5565031982942431,0.7269811096590235,0.8692547520868953,0.9562613902629524,0.5545454545454545
